,date,dayNum,dayOfWeek,yearFreq,seasonal,weekly,forecast,low80,low95,high80,high95
0,2015-05-06,2489,Wednesday,0.342465753424658,1.0143624729071001,1.10276257221099,658261965.4647183,658261896.9120368,658261860.6224378,658262034.0174116,658262070.3070163
1,2015-05-07,2490,Thursday,0.34520547945205504,1.0159412283896998,1.08865505706507,658149276.3634982,658149059.599293,658148944.8512864,658149493.1277716,658149607.8758748
2,2015-05-08,2491,Friday,0.34794520547945196,1.01796953584506,1.03756626060821,658036014.3354634,658035549.4924957,658035303.4196252,658036479.1787552,658036725.252069
3,2015-05-09,2492,Saturday,0.350684931506849,1.02009761365612,0.8024695768969159,657922181.4657086,657921353.4512283,657920915.1272651,657923009.4812235,657923447.806585
4,2015-05-10,2493,Sunday,0.35342465753424707,1.0219729588808,0.794803044742741,657807779.8591367,657806460.1477314,657805761.5357862,657809099.5731857,657809798.1886785
5,2015-05-11,2494,Monday,0.356164383561644,1.02324061305442,1.11179089626053,657692811.6401855,657690859.5564014,657689826.1880168,657694763.7297633,657695797.1059088
6,2015-05-12,2495,Tuesday,0.358904109589041,1.02360179221192,1.11161095399076,657577278.9526098,657574542.6523199,657573094.1470566,657580015.2642832,657581463.7847909
7,2015-05-13,2496,Wednesday,0.36164383561643804,1.02347099293465,1.1028587402143202,657461183.9592139,657457501.2098352,657455551.688423,657464866.729223,657466816.2782542
8,2015-05-14,2497,Thursday,0.36438356164383595,1.02303665422498,1.0887566603148102,657344528.8416221,657339727.6629575,657337186.0866917,657349330.0553629,657351871.678579
9,2015-05-15,2498,Friday,0.367123287671233,1.0223300365594101,1.03765393320392,657227315.8000287,657221215.0023285,657217985.4580306,657233416.654356,657236646.2744812
10,2015-05-16,2499,Saturday,0.36986301369863006,1.0212909750244499,0.802299601986703,657109547.0529339,657101956.6975242,657097938.6415709,657117137.4960288,657121155.6693786
11,2015-05-17,2500,Sunday,0.37260273972602703,1.0199500177188598,0.7945260516856691,656991224.83694,656981946.6362281,656977035.106494,657000503.16869,657005414.8738678
12,2015-05-18,2501,Monday,0.375342465753425,1.01847417810406,1.1119065222154099,656872351.4064585,656861179.0758485,656855264.878194,656883523.9271021,656889438.3791872
13,2015-05-19,2502,Tuesday,0.37808219178082203,1.01646987044401,1.11170390078751,656752929.0335002,656739648.6041135,656732618.4781682,656766209.7314414,656773240.2169702
14,2015-05-20,2503,Wednesday,0.38082191780821895,1.0136670364735,1.1029549166041202,656632960.0074074,656617350.1065407,656609086.8743863,656648570.2793775,656656834.0084133
15,2015-05-21,2504,Thursday,0.38356164383561603,1.01041598767528,1.08885827304709,656512446.6346246,656494278.7391605,656484661.4397738,656530615.0328716,656540233.0054653
16,2015-05-22,2505,Friday,0.386301369863014,1.00706363080737,1.0377416132078199,656391391.2384441,656370429.9054258,656359333.9169676,656412353.2408696,656423450.1256391
17,2015-05-23,2506,Saturday,0.38904109589041097,1.00395252759746,0.802129663079687,656269796.1587648,656245799.2363849,656233096.3882204,656293793.9586418,656306497.981743
18,2015-05-24,2507,Sunday,0.391780821917808,1.00142113033773,0.79424915516214,656147663.7518495,656120382.5735457,656105941.2492784,656174946.0644851,656189388.9075981
